date,humidity,temperature,pressure,pm2.5_alt,scattering_coefficient,visual_range,0.3_um_count,5.0_um_count,pm1.0_atm,pm2.5_atm,pm2.5_cf_1,pm10.0_atm,sensor_id,last_modified,sensor_date_created,sensor_last_seen,private,name,location_type,model,hardware,uptime,pa_latency,memory,position_rating,sensor_latitude,sensor_longitude,altitude,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,unique_incident_count,average_size,list_of_sizes,average_distance,list_of_distances,list_of_rel_direction,target,average_size_stand,average_distance_stand,Fire_Indicator,log_0.3_um_count
2021-05-28,21.489,89.479,982.919,0.4,1.8,319.2,123.122,0.16,0.023,0.0905,0.0975,0.173,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,25.8,19.4,34.4,0.0,0.0,342.0,10.1,,1012.8,,0.0,0.0,,0.0,,,0,1,1,0.0,4.821264952888967
2021-06-04,13.049,101.069,977.033,1.1,4.7,250.2,310.2565,0.16,0.475,0.7649999999999999,0.7649999999999999,0.8719999999999999,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,31.2,19.4,39.4,0.0,0.0,135.0,9.0,,1008.2,,0.0,0.0,,0.0,,,0,1,1,0.0,5.740617331094996
2021-01-10,46.413,56.635,992.778,8.9,27.3,91.3,1818.0405,3.0755,11.2935,18.8745,19.9065,22.0045,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,7.6,2.2,12.2,0.3,0.0,348.0,3.2,,1025.5,,0.0,0.0,,0.0,,,0,1,1,0.0,7.50606444325102
2021-07-25,18.936,97.517,979.199,21.9,58.4,48.7,3893.129,3.57,19.9705,32.563,37.177,37.6765,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,28.5,19.4,40.6,0.0,0.0,5.0,5.8,,1009.4,,3.0,4.666666666666667,"[4, 5, 5]",140.56339981492218,"[95.40215435289892, 201.8960285388892, 124.39201655297842]","['north-east', 'south-east', 'south-east']",1,0,0,0.0,8.267225313272489
2021-11-22,31.607,63.26,990.056,4.2,14.1,144.6,942.7075,0.988,4.8075,7.535,7.8635,8.541,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,9.7,1.1,19.4,0.0,0.0,0.0,1.4,,1020.2,,0.0,0.0,,0.0,,,0,1,1,0.0,6.849816266436631
2021-03-18,53.29,58.311,985.387,11.9,36.9,71.9,2459.7175,3.657,14.4065,22.8395,26.2005,26.799,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,9.8,7.8,11.1,15.2,0.0,235.0,11.2,,1017.2,,0.0,0.0,,0.0,,,0,1,1,0.0,7.8082082530666215
2021-01-18,14.164,71.806,988.991,0.8,2.9,289.8,192.04,0.2794999999999999,0.357,0.775,0.775,0.9905,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,19.1,12.2,21.1,0.0,0.0,15.0,26.3,,1020.1,,0.0,0.0,,0.0,,,0,1,1,0.0,5.262897421316776
2021-08-04,11.422,97.271,979.625,50.4,127.7,23.9,8512.064999999999,9.2225,35.019,59.461,86.67150000000001,65.14500000000001,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,28.9,16.1,40.6,0.0,0.0,23.0,7.2,,1009.9,,8.0,4.375,"[4, 5, 5, 5, 5, 5, 5, 1]",95.29863286277588,"[95.40215435289892, 201.8960285388892, 124.39201655297842, 54.29515171518092, 113.0101898972513, 73.12314322601142, 98.8423306610904, 1.4280479579064491]","['north-east', 'south-east', 'south-east', 'south-west', 'north-east', 'north-west', 'north-west', 'south-west']",1,6,6,5.833333333333333,9.049357321236089
2021-09-12,23.517,91.289,981.253,81.0,216.3,14.5,14419.95,13.482,59.5095,95.978,141.9875,104.119,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,25.1,15.6,35.6,0.0,0.0,349.0,4.3,,1011.8,,7.0,4.857142857142857,"[5, 5, 5, 5, 5, 5, 4]",113.77300994889552,"[201.8960285388892, 124.39201655297842, 54.29515171518092, 113.0101898972513, 73.12314322601142, 98.8423306610904, 130.85220905086703]","['south-east', 'south-east', 'south-west', 'north-east', 'north-west', 'north-west', 'north-west']",1,0,0,0.0,9.576437289390121
2021-01-09,40.38,57.671,993.746,3.7,11.7,162.3,779.2235000000001,1.0145,4.2895,7.021,7.4145,8.1135,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,8.3,0.6,16.7,0.0,0.0,355.0,9.4,,1024.3,,0.0,0.0,,0.0,,,0,1,1,0.0,6.659580417100871
